Région,Département,Entreprise,Projet,Ville
Normandie,Seine-Maritime,Eastman,Recyclage avancé des plastiques,Port-Jérôme-sur-Seine
Normandie,Seine-Maritime,Verso Energy,Production de biocarburants,Port-Jérôme-sur-Seine
Normandie,Seine-Maritime,Engie,Production de biocarburants,Le Havre
Normandie,Seine-Maritime,Lhyfe,Approvisionnement en H2 bas carbone,Le Havre
Normandie,Seine-Maritime,Cabot Carbone,Création d'un energy center,Lillebonne
Nouvelle-Aquitaine,Gironde,KL 1 AG,Investissement industriel et technologique dédié à la conversion de métaux critiques,Blanquefort
Nouvelle-Aquitaine,Landes,Verso Energy,Production de biocarburants,Tartas
Nouvelle-Aquitaine,Pyrénées-Atlantiques,Carester Caremag,Recyclage d’aimants et production de terres rares pour sécuriser les approvisionnements,Lacq
Nouvelle-Aquitaine,Pyrénées-Atlantiques,Elyse Energy,Production de biocarburants,Lacq
Occitanie,Haute-Garonne,Aura Aéro,Développement d'avions hybrides et électriques pour décarboner l'aviation,Toulouse (Francazal)
Occitanie,Tarn,Siat,Transformation de la scierie,Brassac
Pays de la Loire,Loire Atlantique,Naval Group,Augmentation des capacités de production,Indret (Nantes)
Pays de la Loire,Maine-et-Loire,Briand,Acier décarboné : projet de four électrique pour production d'aciers plats,Angers / Cholet
Pays de la Loire,Mayenne,GOCO²,Capture et stockage de CO2,Louverné
Pays de la Loire,Sarthe,Eclairion,Projet de centre de données,Le Mans
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Airbus Helicopters,Modernisation industrielle du site de Marignane,Marignane
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marcegaglia,Modernisation d’une aciérie et production d’acier bas carbone,Fos-sur-Mer
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Gravithy,Procédé innovant de production de fer sans haut-fourneau,Fos-sur-Mer
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Alteo,Développement d’une filière de composants pour batteries,Gardanne
Provence-Alpes-Côte d'Azur,Var,Naval Group,Investissement industriel,Ollioules / Toulon
